,ACCESS_ID,HAULJOIN,CRUISE,VESSEL,HAUL,GIS_STATION,SPECIES_CODE,SEX,LENGTH,WIDTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,WEIGHT,CHELA_HEIGHT,COMMENTS,YEAR,log10.width,log10.weight,log.width,log.weight,Cooks_D,SC,Maturity
498,5258,-6716,201001,89,103,I-19,68580,1,NA,35.8,2,NA,NA,NA,16,5.2,,2010,1.553883027,1.204119983,3.577947893,2.772588722,0.000197384,NS,Immature
500,283,-11590,200601,88,102,P-20,68580,1,NA,35.9,2,NA,NA,NA,16,4,,2006,1.555094449,1.204119983,3.580737295,2.772588722,0.000245094,NS,Immature
508,NA,-17057,201701,94,212,V-26,68580,1,NA,35.9,2,NA,NA,NA,20,5.8,,2017,1.555094449,1.301029996,3.580737295,2.995732274,0.000753219,NS,Immature
510,NA,-10145,201301,89,119,L-19,68580,1,NA,36,2,NA,NA,NA,18,5.4,,2013,1.556302501,1.255272505,3.583518938,2.890371758,2.94E-05,NS,Immature
514,5465,-5676,200901,88,183,S-31,68580,1,NA,36.2,2,NA,NA,NA,20,4.9,,2009,1.558708571,1.301029996,3.589059119,2.995732274,0.000496456,NS,Immature
517,NA,-10256,201301,89,173,V-28,68580,1,NA,36.2,2,NA,NA,NA,20,5.5,,2013,1.558708571,1.301029996,3.589059119,2.995732274,0.000496456,NS,Immature
518,NA,-14721,201501,94,167,S-26,68580,1,NA,36.2,2,NA,NA,NA,20,5.2,,2015,1.558708571,1.301029996,3.589059119,2.995732274,0.000496456,NS,Immature
519,NA,-9606,201202,162,19,CH30-C02,68580,1,NA,36.2,2,NA,NA,NA,16,5.3,,2012,1.558708571,1.204119983,3.589059119,2.772588722,0.000415365,NS,Immature
526,NA,-9044,201201,162,205,T-26,68580,1,NA,36.4,2,NA,NA,NA,20,NA,,2012,1.561101384,1.301029996,3.594568775,2.995732274,0.000357901,NS,#VALUE!
529,NA,-10253,201301,89,170,V-25,68580,1,NA,36.5,2,NA,NA,NA,18,4.3,,2013,1.562292864,1.255272505,3.597312261,2.890371758,7.17E-06,NS,Immature
530,NA,-10255,201301,89,172,V-27,68580,1,NA,36.5,2,NA,NA,NA,16,4.3,,2013,1.562292864,1.204119983,3.597312261,2.772588722,0.00062341,NS,Immature
534,NA,-8984,201201,89,142,N-22,68580,1,NA,36.6,2,NA,NA,NA,16,NA,,2012,1.563481085,1.204119983,3.60004824,2.772588722,0.00070053,NS,#VALUE!
537,3236,-3776,200701,89,174,T-25,68580,1,NA,36.7,2,NA,NA,NA,18,5.4,,2007,1.564666064,1.255272505,3.602776755,2.890371758,3.38E-05,NS,Immature
541,NA,-14499,201501,94,86,P-19,68580,1,NA,36.7,2,NA,NA,NA,18,5.6,,2015,1.564666064,1.255272505,3.602776755,2.890371758,3.38E-05,NS,Immature
545,NA,-8614,201201,162,147,O-21,68580,1,NA,36.8,2,NA,NA,NA,20,NA,,2012,1.565847819,1.301029996,3.605497845,2.995732274,0.000153209,NS,#VALUE!
547,NA,-9224,201201,162,208,V-25,68580,1,NA,36.8,2,NA,NA,NA,18,NA,,2012,1.565847819,1.255272505,3.605497845,2.890371758,5.42E-05,NS,#VALUE!
548,NA,-9589,201202,162,2,CH30-A01,68580,1,NA,36.8,2,NA,NA,NA,18,5.7,,2012,1.565847819,1.255272505,3.605497845,2.890371758,5.42E-05,NS,Immature
549,NA,-9608,201202,162,21,CH30-C01,68580,1,NA,36.8,2,NA,NA,NA,18,5.7,,2012,1.565847819,1.255272505,3.605497845,2.890371758,5.42E-05,NS,Immature
