"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log10.width","log10.weight","log.width","log.weight","Cooks_D","SC"
"407",NA,-17053,201701,94,198,"N-29",68580,1,NA,34.1,2,NA,NA,NA,15,5,"","2017",1.5327543789925,1.17609125905568,3.52929738428947,2.70805020110221,6.41116626268637e-06,"NS"
"408",NA,-10254,201301,89,171,"V-26",68580,1,NA,34.2,2,NA,NA,NA,16,5.4,"","2013",1.53402610605614,1.20411998265592,3.53222564406856,2.77258872223978,0.000193093209534327,"NS"
"412",NA,-9612,201202,162,25,"CH30-E01",68580,1,NA,34.3,2,NA,NA,NA,14,5.1,"","2012",1.53529412004277,1.14612803567824,3.53514535417189,2.63905732961526,0.000231786393179898,"NS"
"419",NA,-9612,201202,162,25,"CH30-E01",68580,1,NA,34.4,2,NA,NA,NA,16,5,"","2012",1.53655844257153,1.20411998265592,3.53805656437935,2.77258872223978,0.000103245670963464,"NS"
"424",NA,-14579,201501,162,173,"R-22",68580,1,NA,34.5,2,NA,NA,NA,14,5.3,"","2015",1.53781909507327,1.14612803567824,3.54095932403731,2.63905732961526,0.000351073613928396,"NS"
"425",NA,-9605,201202,162,18,"CH30-D02",68580,1,NA,34.5,2,NA,NA,NA,14,5,"","2012",1.53781909507327,1.14612803567824,3.54095932403731,2.63905732961526,0.000351073613928396,"NS"
"434",NA,-10254,201301,89,171,"V-26",68580,1,NA,34.7,2,NA,NA,NA,18,4.9,"","2013",1.54032947479087,1.25527250510331,3.54673968695281,2.89037175789616,0.000806307445588384,"NS"
"436",NA,-9607,201202,162,20,"CH30-C01",68580,1,NA,34.7,2,NA,NA,NA,14,4.2,"","2012",1.54032947479087,1.14612803567824,3.54673968695281,2.63905732961526,0.000491950500168403,"NS"
"440",1521,-11434,200601,134,182,"Y-25",68580,1,NA,34.8,2,NA,NA,NA,16,5,"","2006",1.54157924394658,1.20411998265592,3.54961738678043,2.77258872223978,8.43666489620937e-06,"NS"
"445",NA,-17059,201701,94,214,"U-25",68580,1,NA,34.9,2,NA,NA,NA,18,5.4,"","2017",1.54282542695918,1.25527250510331,3.55248682920838,2.89037175789616,0.000608864198258055,"NS"
"446",1562,1063281,200101,89,140,"T-23",68580,1,NA,35,2,NA,NA,NA,16,NA,"","2001",1.54406804435028,1.20411998265592,3.55534806148941,2.77258872223978,3.83741124344067e-07,"NS"
"450",NA,-8968,201201,89,116,"L-20",68580,1,NA,35,2,NA,NA,NA,18,NA,"","2012",1.54406804435028,1.25527250510331,3.55534806148941,2.89037175789616,0.000521719540401473,"NS"
"451",NA,-8710,201201,162,154,"P-24",68580,1,NA,35,2,NA,NA,NA,16,NA,"","2012",1.54406804435028,1.20411998265592,3.55534806148941,2.77258872223978,3.83741124344067e-07,"NS"
"455",NA,-8959,201201,89,107,"M-18",68580,1,NA,35.1,2,NA,NA,NA,16,5.5,"","2012",1.54530711646582,1.20411998265592,3.55820113047182,2.77258872223978,5.55072022652625e-06,"NS"
"456",NA,-10145,201301,89,119,"L-19",68580,1,NA,35.1,2,NA,NA,NA,17,5.4,"","2013",1.54530711646582,1.23044892137827,3.55820113047182,2.83321334405622,9.36686322179701e-05,"NS"
"458",NA,-10153,201301,89,127,"O-20",68580,1,NA,35.1,2,NA,NA,NA,16,5.2,"","2013",1.54530711646582,1.20411998265592,3.55820113047182,2.77258872223978,5.55072022652625e-06,"NS"
