"","CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION","YEAR","log.length","log.weight","Cooks_D","SC"
"111",3345391,-19506,201902,162,12,"CC-03",2,69322,1,68.1,NA,2,NA,NA,NA,252,NA,NA,NA,NA,1,NA,NA,NA,"CC-03","2019",4.22097721315547,5.52942908751142,0.00173160097511227,"NS"
"112",3345392,-19506,201902,162,12,"CC-03",2,69322,1,81.3,NA,2,NA,NA,NA,422,NA,NA,NA,NA,1,NA,NA,NA,"CC-03","2019",4.39814601655377,6.04500531403601,0.000766247720061419,"NS"
"114",3345837,-19740,201902,162,24,"CC-02",2,69322,1,96.4,NA,2,NA,NA,NA,725,NA,NA,NA,NA,1,NA,NA,NA,"CC-02","2019",4.5685062016165,6.58617165485467,0.0017219012529342,"NS"
"115",3345838,-19740,201902,162,24,"CC-02",2,69322,1,85.2,NA,2,NA,NA,NA,560,NA,NA,NA,NA,1,NA,NA,NA,"CC-02","2019",4.44500143383527,6.32793678372919,0.0105392283816601,"NS"
"116",3345839,-19740,201902,162,24,"CC-02",2,69322,1,80.3,NA,2,NA,NA,NA,410,NA,NA,NA,NA,1,NA,NA,NA,"CC-02","2019",4.38576962095272,6.01615715969835,0.0010400049229286,"NS"
"117",3345840,-19740,201902,162,24,"CC-02",2,69322,1,71.8,NA,2,NA,NA,NA,325,NA,NA,NA,NA,1,NA,NA,NA,"CC-02","2019",4.27388447605418,5.78382518232974,0.00742595551096478,"NS"
"118",3345841,-19740,201902,162,24,"CC-02",2,69322,1,83.7,NA,2,NA,NA,NA,470,NA,NA,NA,NA,1,NA,NA,NA,"CC-02","2019",4.42723897749543,6.1527326947041,0.00142272817066394,"NS"
"122",3345276,-19505,201902,162,11,"CC-04",2,69322,1,80.5,NA,2,NA,NA,NA,322,NA,NA,NA,NA,1,NA,NA,NA,"CC-04","2019",4.38825718442452,5.77455154554441,0.00912318817711702,"NS"
"123",3345277,-19505,201902,162,11,"CC-04",2,69322,1,66.9,NA,2,NA,NA,NA,212,NA,NA,NA,NA,1,NA,NA,NA,"CC-04","2019",4.20319896713418,5.35658627467201,0.000259229331700506,"NS"
"124",3345278,-19505,201902,162,11,"CC-04",2,69322,1,85.8,NA,2,NA,NA,NA,454,NA,NA,NA,NA,1,NA,NA,NA,"CC-04","2019",4.45201900649392,6.11809719804135,0.00045481679981747,"NS"
"125",1990073,-7150,201002,94,78,"",2,69322,1,97,NA,2,NA,NA,NA,742,NA,NA,NA,NA,1,28,NA,NA,"CC-04","2010",4.57471097850338,6.60934924316738,0.00195502703664148,"NS"
"126",1988670,-7135,201002,94,63,"",2,69322,1,94,NA,2,NA,NA,NA,644,NA,NA,NA,NA,1,29,NA,NA,"BB-06","2010",4.54329478227,6.46769872610435,0.00027331574068216,"NS"
"127",1988671,-7135,201002,94,63,"",2,69322,1,82,NA,2,NA,NA,NA,416,NA,NA,NA,NA,1,24,NA,NA,"BB-06","2010",4.40671924726425,6.03068526026126,4.44453204178742e-05,"NS"
"130",1988695,-7137,201002,94,65,"",2,69322,1,123,NA,2,NA,NA,NA,1322,NA,NA,NA,NA,1,40,NA,NA,"BB-07","2010",4.81218435537242,7.18690102041163,0.00433515628442187,"NS"
"131",1988727,-7147,201002,94,75,"",2,69322,1,29,NA,2,NA,NA,NA,16,NA,NA,NA,NA,1,9,NA,NA,"CC-07","2010",3.36729582998647,2.77258872223978,0.00153903752319837,"NS"
"132",1988705,-7138,201002,94,66,"",2,69322,1,102,NA,2,NA,NA,NA,866,NA,NA,NA,NA,1,33,NA,NA,"AA-07","2010",4.62497281328427,6.76388490856244,0.00214474778438889,"NS"
"141",1987961,-7120,201002,94,48,"",2,69322,1,60,NA,2,NA,NA,NA,126,NA,NA,NA,NA,1,11,NA,NA,"DD-03","2010",4.0943445622221,4.83628190695148,0.0125042885666775,"NS"
"142",1987962,-7120,201002,94,48,"",2,69322,1,46,NA,2,NA,NA,NA,60,NA,NA,NA,NA,1,11,NA,NA,"DD-03","2010",3.8286413964891,4.0943445622221,0.00858997315169158,"NS"
"143",1988951,-7131,201002,94,59,"",2,69322,1,95,NA,2,NA,NA,NA,758,NA,NA,NA,NA,1,31,NA,NA,"AA-05","2010",4.55387689160054,6.63068338564237,0.00886155252601002,"NS"
